time,name,link,images,conpensation,type_of_job,description
2018-06-30 15:20,Technical Design / General Purpose Smart Person / Technical Support,https://newyork.craigslist.org/mnh/egr/d/technical-design-general/6631253906.html,,T.B.D,full-time,"
        ,
Hi ,
We are a Manhattan-based company that designs and builds custom-made quality control instruments for sale to other companies.,
,
We're looking for a broad, technical, jack of all trades, sort of person who can do a variety of jobs.,
,
We don't expect you to have direct knowledge of what we do, and we don't expect you will have all of the skills listed below.,
,
We are hoping that the list below will find a person interested in this sort of stuff who has some experience and is good with their hands and brain who can pick up and take off.  We will help train.  A self-managing person is implied.  2-10 years of experience.,
,
Work areas/duties could include (in no particular order):,
     CAD design  (it would be good if you know Solidworks or another such program),
     Electronics,  (design, reading schematics troubleshooting, help with PCB design, layout, fabrication etc),
     Creation of research prototypes  (electro-mechanical stuff,  We have ideas that need to be turned into reality / inventing things),
     Production support  (help with production, planning, documentation and production problems),
     Customer service/field support  (you may be asked to travel to help our customers.  Domestic or international).,
     Product management interest  (understanding customer needs, what new features to add, how to market/promote systems),
,
It's great to have knowledge of:,
     Electronics and troubleshooting,
     Graphic design programs,
     Mechanical design,
     CAD design, CNC, 3D,
     Programming,
     Mechatronics,
     Marketing/promotion,
,
Open to educational requirements, a formal degree is not required.  Please respond by Email,
Please list desired compensation.,
    "
2018-06-29 08:37,Freelance MEP Engineer,https://newyork.craigslist.org/mnh/egr/d/freelance-mep-engineer/6629985856.html,,40$ to 60$ per hour,employee's choice,"
        ,
Company: New York Engineers  		,
Position: Freelance Mechanical, Electrical, Plumbing  Survey Engineers,
Location:  NYC                                              ,
,
,
Company Description: ,
 ,
New York Engineers is the most innovative MEP Engineering firm on the planet.  We are recognized as an Inc 5000 fastest growing company in the US.  Our mission is to deliver 10,000 drama-free construction projects nationwide by 2027.   To do this we have an outstanding digital presence.  We have a global delivery system capable of producing designs produced quickly and affordably.  Our clients are the top Architects and Real Estate developers. ,
 ,
 ,
Mission of the Position ,
 ,
Your mission is to work as Freelance Consultants for the trades Mechanical, Electrical and Plumbing. You can be experienced in either one or all three. You would be responsible for surveying and inspection of sites, meeting clients. You will build relationships with top Architects and Real Estate Developers.  You will have a massive impact disrupting an old MEP industry.  You will grow professionally and personally leading the team in your image, being empowered to perform. Enjoy the freedom to work from home.,
 ,
Key Criteria / Requirements ,
,
Ability to survey MEP systems during normal business hours.,
You have 5-10 years of experience in the NYC MEP engineering industry, in surveying and inspection. ,
Experienced in Autocad. ,
P.E not necessary,
Excellent Communication skills.,
Willingness to travel in NYC metro area to survey sites .,
Perform Peer reviews of MEP designs.,
Able to markup drawings clearly. ,
,
,
Reply with your resume and hourly rate.,
    "
2018-06-29 11:27,Architect / Drafter,https://newyork.craigslist.org/brk/egr/d/architect-drafter/6630135090.html,,Based on Qualifications,full-time,"
        ,
A busy Architectural Design and Consulting firm is looking for a talented individual to help grow our practice. ,
,
Our work includes renovations and ground ups of small, medium and large scale single and multi-family residential, commercial, community facility and mixed-use projects.,
,
Responsibilities will include production of design development and construction documents, and direct client interaction. Candidates must be self-motivated, reliable and able to manage all aspects of a project.,
,
Candidate Qualifications:,
Professional experience in an architectural office.,
Be familiar with NYC codes and zoning.,
Knowledge of construction materials, details and methods.,
Proficiency in Revit and AutoCAD.,
,
We are looking for highly motivated individuals who are willing to take on responsibility and grow with our team. Interested applicants must be quick to learn and adapt new drawing methods, related zoning & code rules, DOB and related agency requirements. detail-oriented, collaborative, and eager to take on challenges,
,
Qualified individuals should submit a *brief description of your qualifications, *work samples, *starting salary requirements, in pdf or word format    "
2018-06-29 12:13,MECHANICAL PROJECT SUPERVISOR,https://newyork.craigslist.org/mnh/egr/d/mechanical-project-supervisor/6630188128.html,,DEPENDING ON EXPERIENCE,full-time,"
        ,
EXPERIENCED IN SUPERVISING  SUB-CONTRACTORS ON A MECHANICAL PROJECT IN NEW YORK CITY,
,
MUST BE ABLE TO WORK AND COMMUNICATE WITH SUBS AND RESOLVE ANY FIELD ISSUES THAT ARISE,
,
MUST BE ABLE TO READ PRINTS AND IDENTIFY ANY DIFFERENCES BETWEEN THE PLANS AND FIELD CONDITIONS AND RESOLVE THEM,
,
MECHANICAL ENGINEER A PLUS,
,
COMPUTER LITERATE,
,
MUST HAVE OSHA  30 HOUR CERTIFICATE    "
2018-06-15 14:13,Draftsman,https://newyork.craigslist.org/que/egr/d/draftsman/6617940425.html,,Based on Experience,full-time,"
        ,
Expanding Corporate Retail/Residential firm looking for project architect to work on retail fit-out projects.,
Requirements:,
3-6 Years Experience,
Familiarity & Knowledge with relevant codes and requirements such as NYC Building Code, NYC Zoning Resolution, Americans with Disabilities act, Mechanical, plumbing and fire codes.,
Knowledge of preparing and putting together construction documents from start to finish.,
Proficiency in AutoCAD, Office, Adobe, & Sketch up.,
Knowledge of design criteria including organization, adjacencies and aesthetics,
Knowledge of NYC Building Department Standards and forms.,
Experience with dealing with DOB objections. ,
Ability to work on multiple projects and deadline and prioritize when required. Ability to communicate articulately, both verbally and in writing.,
Ability to work independently when required.,
Ability to review and respond to contractor RFI's.,
Ability to take direction from supervisors and work effectively with co workers.,
    "
2018-06-15 14:55,HVAC ENGINEERS,https://newyork.craigslist.org/mnh/egr/d/hvac-engineers/6617988806.html,,"$90,000- 120,000",full-time,"
        ,
HVAC ENGINEERS with BSME and 7-10+ years of experience,
in design of residential, commercial or healthcare projects.,
Permanent. Full time. Excellent benefits.,
,
HANK DEVITO,
,
TEL: 718-449-5745,
EMAIL: HANK11214@HOTMAIL.COM    "
2018-06-15 14:55,HVAC ESTIMATOR (Bronx) Needed Immediately,https://newyork.craigslist.org/brx/egr/d/hvac-estimator-bronx-needed/6617989241.html,,TBD,employee's choice,"
        ,
HVAC Estimator needed with a minimum of 5 years of HVAC experience.  Needed for a mechanical contractor located in the Bronx.  Must be able to work independently, organized and able to communicate well.  ,
,
Requirements:,
Able to read takeoffs and do pricing,
Able to communicate well,
Flexible schedule to meet deadlines,
Able to attend prebid meetings,
Computer literate    "
2018-06-15 14:56,Construction Inspector,https://newyork.craigslist.org/que/egr/d/construction-inspector/6617990387.html,,$16/hr,full-time,"
        ,
Construction Inspector positions available. Will train. Min 2 years college. Need vehicle. Field inspections on projects throughout NYC. Daytime hours.    "
2018-06-04 14:42,"Engineers, P.E. & Architects to Perform Home Inspections",https://newyork.craigslist.org/brk/egr/d/engineers-pe-architects-to/6607819192.html,,TBD,part-time,"
        ,
Engineers P.E.'s & Architects needed to perform home inspections in Brooklyn & Queens for one of New York's oldest home inspection companies. We are a home inspection company not an engineering company so you must have a NYS Home Inspection License or be willing to obtain one. Please reply with experience along with contact info of phone number and/or email address.    "
2018-06-04 14:47,Licensed Engineers & Architects to Perform Home Inspections,https://newyork.craigslist.org/lgi/egr/d/licensed-engineers-architects/6607825018.html,,TBD,part-time,"
        ,
Engineers P.E.'s & Architects needed to perform home inspections in  Nassau & Suffolk for one of New York's oldest home inspection companies. We are a home inspection company not an engineering company so you must have a NYS Home Inspection License or be willing to obtain one. Please reply with experience along with contact info of phone number and/or email address.    "
2018-06-04 15:20,Auto CAD Drafter - Chinese Bilingual  (H1B will be provided),https://newyork.craigslist.org/mnh/egr/d/auto-cad-drafter-chinese/6607865159.html,,TBD,full-time,"
        ,
OPT Status WELCOME! Our company will apply H1B (Working Visa) for you! ,
Chinese Mandarin / Cantonese  Bilingual is a big plus! ,
,
Construction Company is looking for the in-house CAD Drafter. ,
Skill and ability to:,
•	Working knowledge of the current version of AutoCAD.,
•	Experience with multiple Autodesk products desirable.,
•	Ability to conform CAD drafting standards and design guidelines.,
•	Ability to produce engineering drawings from markups, sketches, plans, etc.,
•	Familiarity with engineering drawings (civil, structural, mechanical, electrical etc.),
Required software:,
•	AutoCAD/Autodesk MEP/Revit BIM,
,
Please forward your Cover Letter & Resume for the consideration. ,
Our company will offer / provide H1B VISA for you if you are in OPT/ Student status.,
    "
2018-06-04 16:17,Construction Coordinator,https://newyork.craigslist.org/mnh/egr/d/construction-coordinator/6607932565.html,,"Salary: $28-$32/hourly; Medical, Dental, & Vision 401K; Program PTO & Holiday Pay",full-time,"
        ,
PRG is seeking a talented, experienced, and driven OSP Construction Professional to join our team to assist residential fiber construction in the local market.  ,
,
Responsibilities:,
•Position will coordinate  BAM type construction work.  Coordinator may be entrusted to survey locations, identify permitting requirements, put together BOM's and Notice-To-Proceed (NTP) packages for contractors, trouble shoot on site as necessary, perform QC,  verify as-builts and provide weekly reporting to management on their market. ,
,
 ,
,
Qualified candidates should meet the following requirements:,
,
•5+ years in cable construction,
•Strong fiber background,
•Experience managing contractors and coordinating multi-site construction projects,
•Strong written and verbal communication skills,
•Working knowledge of Microsoft Excel and Office programs.,
•Candidate must have own vehicle in acceptable condition (to be determined by hiring manager) - mileage reimbursement will be paid at standard Federal rate.,
,
Qualifications,
•Overtime will be required at times based on volume of work.  ,
•Some travel may be required.  Less than 25%.,
,
To apply, please visit:,
,
,
    "
2018-05-31 09:42,"AutoCAD Drafter (Brooklyn, NY)",https://newyork.craigslist.org/brk/egr/d/autocad-drafter-brooklyn-ny/6603928096.html,,Compensation based on experience,full-time,"
        ,
A small engineering firm located in Brooklyn, NY is seeking an AutoCAD Drafter to help with our growing business. We focus on structural engineering design and this position requires excellent AutoCAD skills. You will report to the lead engineer and occasionally go on site visits. Someone who is knowledgeable in strength of materials, steel design, and concrete design would be perfect for this position.,
,
•	Excellent AutoCAD skills and able to do drawings, read and interpret construction plans and specs,
•	Clear communication with coworkers and clients ,
•	Detail oriented to draft new projects and modify existing drawings,
•	Knowledge of Microsoft Word and Excel,
•	Self-motivated, fast learner and willing to put in extra hours when needed.,
,
We are a small company, but we work on many projects. There are very good opportunities to grow and learn with this company for a dedicated employee.,
 ,
Foreign engineers/architects are welcome! ,
,
No students, no part-time, no freelancers. Don't waste your time or ours please. ,
,
Please reply to this post with your resume. (The silver ""Reply"" button at the top of the page.),
    "
2018-05-31 10:21,Designer/Steel Detailer -- Entry Level Position,https://newyork.craigslist.org/mnh/egr/d/designer-steel-detailer-entry/6603965249.html,,BOE,full-time,"
        ,
Designer/Detailer -- Entry Level Position,
,
Minimum requirements:,
•	Associates degree in drafting or related discipline,
•	Efficient AutoCAD skills,
•	Knowledgeable in Math,
•	3D modeling experience using 3D modeling program is a plus,
•	Knowledge or experience with steel detailing is a plus,
 ,
Responsibilities will include:,
•	Preparing complete and accurate AutoCAD drawings of steel structures as designed by engineering personnel,
•	Using engineering information, manufacturing parameters and customer's technical specifications to create drawings,
•	Responsible for updating and revising drawings when changes are made to engineering designs,
•	Responsible for completing jobs on time based on the drafting department's schedule,
•	Ability to work well in a team environment as well as independently,
•	Good planning and organizational skills required for fast paced environment,
•	Ability to work under pressure and adhere to strict deadlines,
•	Willing to work overtime when requested,
•	Be able to grow; be proactive, flexible, and willing to stretch,
•	Willing to learn and train,
,
We offer a comprehensive benefits package which includes medical, disability, FSA and 401K plan, paid vacation, and more (subject to applicable waiting periods).,
    "
2018-05-31 11:15,HVAC Estimator,https://newyork.craigslist.org/brk/egr/d/hvac-estimator/6604023221.html,,Salary + Commissions,contract,"
        ,
HVAC company is looking for commercial/residential estimator or person who will search for projects. Knowledge in estimating ductwork. Full/Part time job. Experience is required. Salary +commissions. Call (917)588-1681.    "
2018-05-31 13:30,Landscape Designer's Assistant /Draftsperson,https://newyork.craigslist.org/lgi/egr/d/landscape-designers-assistant/6604183443.html,,tbd,employee's choice,"
        ,
Landscape Designer's Assistant /Draftsperson (Miller Place) Landscape Design/Build Firm currently seeking a qualified individual with experience in Auto Cad, SketchUp, Microsoft Office and Photoshop. Position available for a mature, disciplined, self motivated, honest, hard working, and committed individual who values the right things in life.,
Part time position has flexible hours, office and field work and competitive pay. Comfortable office setting working on exciting high-end residential landscape design / build projects. Position could lead to full-time. ,
Candidate must own their own Auto-Cad program, Lap-top and transportation. Candidate will be involved in design, construction details, estimating, design implementation, drafting, clerical, and office duties. ,
Please send resume and cover letter. No resumes far out of Suffolk County will be considered. Please live on Long Island and have the experience and examples of design work before applying.,
    "
2018-05-31 13:55,Intermediate Architectural Designer | Estate Homes,https://newyork.craigslist.org/que/egr/d/intermediate-architectural/6604212618.html,,75K,contract,"
        ,
Title:,
Intermediate Architectural Designer | Residential Estates,
,
Firm Description:,
Long Island City office Design/Build development firm with a focus of large, luxury residential estates,
,
Description:,
Contract-to-Hire,
Intermediate Architect with 5-10 years experience to work on high-end residential single family custom built homes.  Must be proficient in AuotoCAD and able to produce and coordinate a full set of construction documents. This is a 4-6 month assignment that could potentially become a permanent position.,
,
Education:,
Bachelor of Architecture or Master of Architecture.,
,
Compenstation:,
Competitive hourly rate to start, then base salary plus additional employee incentives.    "
